country,region,hdi_2021,hdi_rank_2021
Switzerland,,0.962,1.0
Norway,,0.961,2.0
Iceland,,0.959,3.0
"Hong Kong, China (SAR)",,0.952,4.0
Australia,,0.951,5.0
Denmark,,0.948,6.0
Sweden,,0.947,7.0
Ireland,,0.945,8.0
Germany,,0.942,9.0
Netherlands,,0.941,10.0
