country,region,hdi_2021,hdi_rank_2021
South Sudan,SSA,0.385,191.0
Chad,SSA,0.394,190.0
Niger,SSA,0.4,189.0
Central African Republic,SSA,0.404,188.0
Burundi,SSA,0.426,187.0
Mali,SSA,0.428,186.0
Mozambique,SSA,0.446,185.0
Burkina Faso,SSA,0.449,184.0
Yemen,AS,0.455,183.0
Guinea,SSA,0.465,182.0
